Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,Unnamed: 13,Unnamed: 14
4422,261103.0,en,Maya the Bee Movie,0.4187842865250015,2014-09-11,6.2,131,"['Family', 'Animation']","Freshly hatched bee Maya is a little whirlwind and won't follow the rules of the hive. One of these rules is not to trust the hornets that live beyond the meadow. When the Royal Jelly is stolen, the hornets are suspected and Maya is thought to be their accomplice. No one believes that she is the innocent victim and no one will stand by her except for her good-natured and best friend Willy. After a long and eventful journey to the hornets hive Maya and Willy soon discover the true culprit and the two friends finally bond with the other residents of the opulent meadow.",0.0,79,Friendship is thicker than honey,,
4423,12699.0,en,Hellraiser: Hellworld,0.4344220947096285,2005-09-06,4.8,200,"['Horror', 'Thriller']",Pinhead returns to terrorize computer hackers who have opened a virtual Lament Configuration on the website Hellworld.com.,0.0,91,Evil Goes Online,,
4424,51162.0,en,Winnie the Pooh,0.3792483763162872,2011-04-13,6.9,634,"['Animation', 'Family', 'Comedy', 'Adventure']","During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.",0.3068350694659956,63,Oh Pooh.,,
4426,49526.0,en,Premium Rush,0.3792799041553691,2012-08-24,6.3,1674,"['Crime', 'Action', 'Thriller']","In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",0.6595807924217255,91,Ride Like Hell,,
4427,752505.0,en,The Old Ways,0.3238854908884545,2020-10-16,7.6,191,"['Horror', 'Fantasy']","Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.",0.0,90,It lives inside you.,,
4428,153509.0,en,Zombie Massacre,0.47919162620593975,2013-06-06,5.1,89,"['Action', 'Horror']",A bacteriological weapon developed by the US Government to create a super soldier - spreads an epidemic in a quiet little town in the middle of Eastern Europe. All citizens have been turned into infected zombies. The plan is to bring an atomic bomb into the city's nuclear plant to pretend a terrible accident occurred. No one has to know the truth. A team of mercenaries is hired to complete the mission. The battle is on. Hordes of monsters against the team. Who will survive?,0.0,91,There is no hope.,,
4430,672761.0,en,The Candy Witch,0.36250709376379336,2020-06-04,5.8,23,['Horror'],"Two ghost hunters are called upon a distressed family who claim they are being tormented by an evil spirit known in their local town as The Candy Witch. But as the mystery of her curse is uncovered, surprising and sinister turns are discovered around The Candy Witch's identity. Their hardest case yet, can they solve this evil curse before more people are killed by the demonic spirit?",0.0,94,,,
4431,25376.0,es,El secreto de sus ojos,0.33974399394665494,2009-08-13,8.0,1877,"['Crime', 'Drama', 'Mystery']",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,0.7207407881311272,130,,,
4432,346.0,ja,七人の侍,0.6076675704647203,1954-04-26,8.5,2426,"['Action', 'Drama']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",0.005768371988504507,207,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,,
4433,1685.0,en,Beneath the Planet of the Apes,0.47361119868844187,1970-04-23,6.2,888,"['Adventure', 'Science Fiction', 'Mystery']","The sole survivor of an interplanetary rescue mission discovers a planet ruled by apes, and an underground city run by telepathic humans.",0.4031659607444209,95,"The bizarre world of ""Planet of the Apes"" was only the beginning...",,
4434,126337.0,en,Unconditional,0.39394034932845695,2012-09-21,6.8,49,['Drama'],"Samantha Crawford is living a storybook life: she’s happily married, she lives on a ranch where she keeps her beloved horse, and the stories she’s told and illustrated since childhood have become published books. When her husband Billy is killed in a senseless act of violence, Sam loses her faith and her will to live. But a death-defying encounter with two children leads to a reunion with Joe, her oldest friend. As Sam watches “Papa” Joe care for and love the kids in his under-resourced neighborhood, she begins to realize that no matter life’s circumstances, the love of God is always reaching out to us.",0.0,92,It's not a dead end if it takes you somewhere you needed to go.,,
4435,10323.0,en,Clash of the Titans,0.42625638438741403,1981-06-12,6.9,525,"['Action', 'Adventure', 'Family', 'Fantasy']","To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",0.8719617784508628,118,You will feel the power. Live the adventure. Experience the fantastic!,,
4436,10069.0,en,Stay Alive,0.31597200327889524,2006-03-24,5.8,549,"['Horror', 'Thriller']","After the mysterious, brutal death of an old friend, a group of teenagers find themselves in possession of ""Stay Alive,"" an ultra-realistic 3-D videogame based on the spine-chilling true story of a 17th century noblewoman, known as ""The Blood Countess."" The gamers don't know anything about the game other than they're not supposed to have it... and they're dying to play it. Not able to resist temptation, the kids begin to play the grisly game but soon make a chilling connection -- they are each being murdered one-by-one in the same way as the characters they played in the game. As the line between the game world and the real world disappears, the teens must find a way to defeat the vicious and merciless Blood Countess, all the while trying to... stay alive.",0.5751586242882026,100,You die in the game - you die for real.,,
4437,56903.0,it,Tre metri sopra il cielo,0.6311873384198246,2004-03-12,5.7,578,"['Drama', 'Romance']",A bad boy and a socialite girl hook-up.,0.0,101,,,
4440,422642.0,en,Fantastic Beasts 5,0.3709880824768271,0,0.0,"['Adventure', 'Fantasy']",The fifth installment of the 'Fantastic Beasts and Where to Find Them' series which follows the adventures of Newt Scamander.,0,0.0,,,,
